miRNA,10.10.Plume,11K2,12K1,12K2,12K3,16.11.K1,16.11.K2,18K1,20K1,20K2,22.11.K2,22.11.K3,23.11.K1,23K1,24K1,25K1,26K1,27K2,27K3,27K5,27K7,2K1,2K4,31K4,KGKONTR16,KGKONTR17,KGKONTR23,KGKONTR39,KGKONTR42,KG07,KG10,KG11,KG12,KG13,KG14,KG15,KG16,KG17,KG18,KG19,KG20,KG21,KG22,KG23,KG24,KG25,KG26,KG27,KG30,KG31,KG32,KG34,KG35,KG36,KG37,KG38,KG39,KG40,KG41,KG42,KG43,KG44,KG45,KG47,KG48,KG49,KG50,KG51,KG52,KG53,KG54,KG55,KG57,KG58,KG59,KG60,KG61,KG62,KG63,KG64,KG65,KG66,KG67,KG68,KG69,KG70,KG71,KG72,KG73,KG74,KG75,KG76,KG77,KG78,KG79,KG80,KG81,KG83,KG84,KG85,KG86,KG87,KG89,KG91,KG92,KG93,KG94,KG95,KG96,KP0261,KP0271,KP0281,KP0321,KP0331,KP0361,KP0371,KP0381,KP0391,KP0411,KP052,KP053,KP054,KP055,KP056,KP057,KP058,KP060,KP061,KP062,KP063,KP064,KP065,KP066,KP074,KP075,KP076,KP079
hsa-let-7a-3p,25,0,0,0,37,21,0,0,0,26,0,0,1,0,0,0,0,0,0,0,0,28,0,0,17,120,0,132,120,0,0,59,178,515,42,147,0,0,132,33,0,0,0,59,0,569,0,0,0,0,24,0,0,114,178,0,42,55,42,196,0,0,24,42,45,0,0,42,0,27,0,0,22,0,0,0,0,0,57,0,27,0,168,169,0,52,115,5,547,59,43,50,87,75,0,26,0,120,24,0,64,0,41,0,0,41,0,0,0,0,0,69,0,147,0,91,0,60,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,64,0,0,0
hsa-let-7a-5p,750115.6667,108944,922229.3333,532788.3333,204894.6667,3376649.667,433572,462213,33235.16667,891813.6667,104158.3333,780528,762867.3333,295074.3333,190396.3333,144404,837153,557859.6667,899592,550480,446473,227898,326270,950295,56466,34654.33333,23930.66667,38175.66667,13532.33333,4008,5415.333333,122201.6667,202406.3333,445071.3333,179347.3333,192196,105579.3333,161342.6667,137476.3333,117319.6667,129689.3333,70468.33333,117145.3333,208382.6667,141046,329578.6667,33473.66667,6136,10261.33333,4409,19345.66667,10004,25958.33333,34859,70950.66667,42807,58627.33333,29041.66667,24825,88982.66667,13019,25362.33333,20329,46334.66667,37872.66667,14646,10366,28792.66667,6948,29704.66667,6816.333333,4498,19776,21041.33333,18270.66667,22258,5988,19209.66667,45359.33333,10762,35493.33333,16850,82224.66667,30438,28069.33333,74296,32288.66667,10412.33333,85801.66667,27262.33333,39914.66667,97780.33333,17904.66667,51566,17098.66667,49084,34245,26191,17937,24494.66667,37163.33333,61820.66667,39574,30568,34758,54947.33333,16908,32918,97799,7413,2625,38136.33333,3051,72694.33333,20290,107968.3333,6683,9628.666667,2824.666667,2053,2779,5414,1850,2188.666667,2696,2365,2598,1844,2344.333333,4894.333333,5614,7577.333333,4086,48227,15553.66667,56250.66667,6753.666667
hsa-let-7b-3p,0,0,0,40,22,45,19,90,0,10,0,0,42,0,37,14,115,0,39,5,12,0,12,0,261,248,0,136,16,0,212,455,295,1720,886,963,329,564,192,380,340,1,1,181,368,792,100,0,0,0,0,0,588,196,724,399,327,323,97,173,124,145,319,174,18,83,56,27,1,388,5,0,0,29,0,91,79,0,22,45,118,272,189,139,147,671,451,110,533,168,1061,988,346,483,26,573,0,104,61,1,70,48,78,126,64,98,25,15,63,1,63,152,0,304,48,853,18,0,93,25,60,87,35,84,0,0,19,0,0,88,0,70,0,297,29,318,0
hsa-let-7b-5p,1571214,442489,1799216,1613256,577456,3595317,1021109,1377458,143732,1773618,184141,1887518,1798231,709097,583045,273066,1744834,1541144,2031599,1343686,1019685,573507,904209,1828201,65244,30182,17241,39992,6708,3407,5995,129398,216156,460023,193333,237867,81337,193000,140870,138880,165485,90076,127090,197991,142543,359823,62845,2373,4166,1523,18726,9364,22483,18301,50740,47292,55519,23181,18012,50917,12775,16856,22675,51487,34671,15059,8746,11855,4029,32885,3419,5077,18768,17746,15581,16847,5204,14591,33974,9387,48547,17549,89721,29440,24838,79399,39907,7061,37830,32992,44376,105250,20266,38195,19106,51223,43593,27408,22775,33972,47006,75024,43622,36812,42530,49028,15437,30133,152741,3204,699,56869,1832,87879,20608,139671,1522,3644,1022,792,1777,2394,516,884,442,615,1548,899,890,2859,5623,3317,2076,94786,20034,58953,3002
hsa-let-7c-5p,15745,4102,42022,20892,8087,67341,11461,11256,2332.5,21144,4419,20087,33488,12862,10343,3409,16089,34242,21373,21027,15064,6499,9795,15409,343,254,474,646,136,82,10,1483,3629,4228,3208,2384,596,1614,3316,1419,1716,1330,1727,2838,1232,4759,3604,485,770,794,816,521,1195,779,711,445,661,765,655,1288,314,221,486,936,753,277,140,1071,122,748,157,7,224,229,386,360,69,635,389,164,619,113,1382,756,130,2056,1057,333,974,287,925,5386,1853,695,553,1538,583,282,503,678,478,953,580,1290,591,618,1375,448,5122,344,446,525,24,652,584,1716,211,687,1110,47,67,880,137,70,169,1,28,220,118,326,297,145,515,543,612,810,116
hsa-let-7d-3p,181,84,179,381,325,772,203,403,0,566,46,375,303,196,123,56,318,146,383,332,234,97,159,296,7947,5692,2236,6816,1164,1018,523,8940,13206,25997,12526,20100,8119,19573,11189,12553,13567,6358,6956,10779,9293,18893,2074,1591,2611,220,1613,1014,6693,4474,13645,9517,11845,5692,4451,6470,1870,3011,3493,6350,3668,2745,978,3285,1312,7186,678,904,2427,2648,2503,2263,1112,1864,4501,1657,4454,3364,24916,7920,7043,18395,9034,2214,14518,6751,7437,23421,4407,12254,3434,10755,3385,3246,2285,2136,2423,4395,2237,1912,2560,4065,1652,2774,9916,1013,265,5940,93,9869,2172,18797,191,789,240,279,917,1407,104,317,623,397,432,87,157,1999,1172,1627,1013,6173,2567,6830,1062
hsa-let-7d-5p,83132,12998,74828,55480,29969,405083,35751,80121,3762,95977,14263,78566,100983,28527,16220,21695,121589,56482,76541,68320,37937,20496,32231,88893,4077,2469,1353,2057,1157,8,338,6399,11835,26122,7997,8378,3896,5194,6253,5785,3768,3560,3084,8698,5800,19924,2574,83,893,3,709,72,1183,1401,3806,1586,3753,1536,1075,5164,822,1453,1518,3116,1294,827,530,1497,427,736,462,70,765,1101,1191,1231,320,960,3157,432,1675,734,4520,1482,2202,3672,1595,532,5961,1861,2558,4023,1195,2572,1266,3140,2355,1503,1479,2264,1906,2171,2002,1747,1890,3147,791,1971,5018,204,2,2172,35,3167,1143,6382,17,362,2,17,78,5,49,70,90,47,1,70,99,133,170,372,216,2512,442,3590,271
hsa-let-7e-5p,6458,682,10416,4732,2049,32419,5722,3682,432.5,6682,808,7537,5940,3954,1976,816,5997,4180,5272,4610,4835,2612,1760,5028,508,637,184,383,154,3,1,442,851,1292,461,1355,969,893,1193,362,860,514,108,1063,226,1019,890,437,7,277,192,59,911,724,1205,379,1294,446,251,794,113,348,311,443,734,96,285,540,16,419,67,74,131,151,42,269,191,200,797,61,248,486,899,279,322,1712,439,107,968,184,486,1112,25,426,75,643,219,194,145,210,491,424,101,452,204,252,196,286,779,303,232,402,88,518,215,1984,531,216,176,11,48,66,151,0,39,103,51,1,89,107,107,247,113,373,78,489,104
hsa-let-7f-5p,260492.5,30464.5,326094,147156.5,67005.5,1702152,127457.5,200642,8913.5,295712,29604.5,230912.5,293853,94789.5,50731,59976.5,319103,154371,264404,143668.5,123831,62652,91304.5,339559.5,36958,21139,17050,30529,10494.5,1112,4720.5,52044.5,107802,258281.5,95255,92212.5,74191,90324,70919,51138,58824.5,37337,65881,111956,75673,190972.5,16234.5,3058.5,4161,1232,12224,6147,13538,20990,40349.5,27898,37418,14452,14249,63259.5,7827,15713.5,12488,26979,23039.5,9257,7994,18810,5689,18725,4601,2165,13578.5,10969,13096.5,14554,3177,11538,28600.5,8120.5,19926,10204,49026,15900,18911,48261.5,18964,6895,60114.5,19734,26188,60523,15234.5,34677,13935,29889,20803,14223,9408,18773,25222.5,38838.5,27434,19231,20679,38581,10340,23310,54856,3762,1896,20622.5,1421,42234,12136,74843,3165,2248,2180,1383,1551,3505,953,1696,1229,706,1574,928,1444,2830,2287,3937,2037,28803,8876,31469,5442
hsa-let-7g-5p,462083,66378,465855,247497,92192,2357696,180246,523817,19381.5,635134,63373,463396,574529,178536,102786,117534,645894,419884,502037,266067,247061,110160,208053,513480,26226,18033,10663,24846,10892,586,2573,48436,110345,253374,87494,93616,65723,86455,65652,56664,51519,35023,59726,93732,71391,164774,27421,940,1969,142,5490,2776,9704,10508,24122,23894,23947,13759,8074,36108,6073,7086,10016,19764,16997,8160,3799,8170,2610,14108,2110,1551,7087,7486,7182,10616,2199,7927,18970,4675,16106,10266,52127,9435,14715,42590,20316,3866,52662,13968,23626,51877,10196,34666,10792,42783,20933,12535,8797,17090,26961,32146,26374,18933,18005,30178,7541,15687,46197,1258,281,26380,617,39757,9892,68569,1495,1238,470,419,858,1365,378,568,1144,710,479,437,771,1477,1397,2817,522,33469,7164,29339,2633
